vocabulary_code,vocabulary_name,value_code,label,sort_order,is_active
FORMULATION_CLASS,Formulation class,LIQUID_RTD,Liquid RTD,1,Y
FORMULATION_CLASS,Formulation class,POWDER,Powder,2,Y
FORMULATION_CLASS,Formulation class,VMS,VMS,3,Y
PRODUCT_FORMAT,Product format,BOTTLE_PET,PET bottle,1,Y
PRODUCT_FORMAT,Product format,BOTTLE_HDPE,HDPE bottle,2,Y
PRODUCT_FORMAT,Product format,CAN,Aluminium can,3,Y
PRODUCT_FORMAT,Product format,TETRA,Aseptic carton,4,Y
PRODUCT_FORMAT,Product format,POUCH,Pouch,5,Y
PRODUCT_FORMAT,Product format,SACHET,Sachet,6,Y
PRODUCT_FORMAT,Product format,TUB,Tub,7,Y
PRODUCT_FORMAT,Product format,BLISTER,Blister,8,Y
PRODUCT_FORMAT,Product format,JAR,Jar,9,Y
CONTAINER_TYPE,Container type,CLEAR_PLASTIC,Clear plastic,1,Y
CONTAINER_TYPE,Container type,OPAQUE_PLASTIC,Opaque plastic,2,Y
CONTAINER_TYPE,Container type,GLASS,Glass,3,Y
CONTAINER_TYPE,Container type,METAL,Metal,4,Y
CONTAINER_TYPE,Container type,LAMINATE,Laminate carton,5,Y
CONTAINER_TYPE,Container type,LAB_TUBE,Lab tube / centrifuge tube,6,Y
ORIENTATION,Storage orientation,UPRIGHT,Upright,1,Y
ORIENTATION,Storage orientation,INVERTED,Inverted,2,Y
ORIENTATION,Storage orientation,HORIZONTAL,Horizontal,3,Y
RESULT_TYPE,Result type,SCHEDULED,Scheduled pull,1,Y
RESULT_TYPE,Result type,AD_HOC,Ad hoc check,2,Y
RESULT_TYPE,Result type,RETEST,Retest,3,Y
RESULT_TYPE,Result type,PULL_FORWARD,Pull-forward,4,Y
PLAN_STATUS,Plan status,ACTIVE,Active,1,Y
PLAN_STATUS,Plan status,CANCELLED_EARLY,Cancelled early on failure,2,Y
PLAN_STATUS,Plan status,COMPLETE,Complete,3,Y
TEST_STATUS,Test status,DRAFT,Draft,1,Y
TEST_STATUS,Test status,SUBMITTED,Submitted,2,Y
TEST_STATUS,Test status,REVIEWED,Reviewed,3,Y
TEST_STATUS,Test status,REJECTED,Rejected,4,Y
APPEARANCE,Appearance,UNIFORM,Uniform,1,Y
APPEARANCE,Appearance,SLIGHT_LAYERING,Slight layering,2,Y
APPEARANCE,Appearance,DISTINCT_PHASES,Distinct phases,3,Y
APPEARANCE,Appearance,CLOUDY,Cloudy,4,Y
COLOR_DESC,Color descriptor,WHITE,White,1,Y
COLOR_DESC,Color descriptor,OFF_WHITE,Off-white,2,Y
COLOR_DESC,Color descriptor,CREAM,Cream,3,Y
COLOR_DESC,Color descriptor,LIGHT_TAN,Light tan,4,Y
COLOR_DESC,Color descriptor,TAN,Tan,5,Y
COLOR_DESC,Color descriptor,LIGHT_BROWN,Light brown,6,Y
COLOR_DESC,Color descriptor,BROWN,Brown,7,Y
COLOR_DESC,Color descriptor,YELLOW,Yellow,8,Y
COLOR_DESC,Color descriptor,PINK,Pink,9,Y
COLOR_DESC,Color descriptor,GREY,Grey,10,Y
COLOR_DESC,Color descriptor,TRANSLUCENT,Translucent,11,Y
COLOR_CODE,Color code,C01,C01 White,1,Y
COLOR_CODE,Color code,C02,C02 Off-white,2,Y
COLOR_CODE,Color code,C03,C03 Cream,3,Y
COLOR_CODE,Color code,C04,C04 Light tan,4,Y
COLOR_CODE,Color code,C05,C05 Tan,5,Y
COLOR_CODE,Color code,C06,C06 Light brown,6,Y
COLOR_CODE,Color code,C07,C07 Brown,7,Y
COLOR_CODE,Color code,C08,C08 Yellow,8,Y
COLOR_CODE,Color code,C09,C09 Pink,9,Y
COLOR_CODE,Color code,C10,C10 Grey,10,Y
UNIT_LENGTH,Length unit,MM,mm,1,Y
UNIT_LENGTH,Length unit,CM,cm,2,Y
UNIT_SERUM,Serum unit,MM,mm,1,Y
UNIT_SERUM,Serum unit,ML,mL,2,Y
UNIT_SERUM,Serum unit,PCT,% of package,3,Y
POUR_RESULT,Pour-out result,POURS_CLEAN,Pours clean,1,Y
POUR_RESULT,Pour-out result,RESIDUE_ON_WALL,Residue on wall,2,Y
POUR_RESULT,Pour-out result,PLUG_REMAINS,Plug remains in container,3,Y
SHAKE_RESULT,Shaken result,FULLY_REDISPERSED,Fully redispersed,1,Y
SHAKE_RESULT,Shaken result,PARTIAL,Partially redispersed,2,Y
SHAKE_RESULT,Shaken result,NOT_REDISPERSED,Not redispersed,3,Y
SERUM_LOCATION,Serum location,TOP,Top,1,Y
SERUM_LOCATION,Serum location,BOTTOM,Bottom,2,Y
SERUM_LOCATION,Serum location,SIDE_WALL,Side wall,3,Y
SERUM_LOCATION,Serum location,NECK,Neck / shoulder,4,Y
