field_code,domain_code,sub_domain,field_name,data_type,unit,vocabulary_code,required_default,allow_na,depends_on_field,depends_on_value,taxonomy_group,source_req,mvp_scope,sort_order,description
project_code,TEST_CONTEXT,CONTEXT,Project code,ref,,,Y,N,,,CORE,R-02,MVP,10,Project code referenced read-only from the reference store (NESTMS data in the Blob reference container) (top of the Project > AR > Trial hierarchy)
ar_number,TEST_CONTEXT,CONTEXT,Stability AR number,ref,,,Y,N,,,CORE,R-03,MVP,20,Stability Analysis Request number referenced read-only from the reference store (NESTMS data in the Blob reference container)
trial_number,TEST_CONTEXT,CONTEXT,Trial number,ref,,,Y,N,,,CORE,R-03,MVP,30,Trial number referenced read-only from the reference store (NESTMS data in the Blob reference container)
variant_number,TEST_CONTEXT,CONTEXT,Variant number,ref,,,Y,N,,,CORE,R-03,MVP,40,"Variant number within the trial, referenced read-only"
sample_code,TEST_CONTEXT,CONTEXT,Sample code,ref,,,Y,N,,,CORE,R-03,MVP,50,Sample code referenced read-only from the reference store (NESTMS data in the Blob reference container)
time_point,TEST_CONTEXT,CONTEXT,Time point,ref,,TIME_POINT,Y,N,,,CORE,R-04,MVP,60,"Stability time point from the AR plan (T0, 2W, 1M, 3M, 6M, 9M, 12M, 18M)"
temperature_condition,TEST_CONTEXT,CONTEXT,Storage condition,ref,,TEMP_CONDITION,Y,N,,,CORE,R-05,MVP,70,Storage temperature condition from the AR plan (up to six per trial)
formulation_class,TEST_CONTEXT,CONTEXT,Formulation class,select,,FORMULATION_CLASS,Y,N,,,CORE,R-16,MVP,80,"Liquid RTD, powder or VMS; drives which template is offered"
product_format,TEST_CONTEXT,CONTEXT,Product format,select,,PRODUCT_FORMAT,N,N,,,CORE,R-26,MVP,90,Package format of the sample under test
container_type,TEST_CONTEXT,CONTEXT,Container type,select,,CONTAINER_TYPE,N,N,,,CORE,R-26,MVP,100,Container material and closure
package_volume_ml,TEST_CONTEXT,CONTEXT,Nominal package volume,number,mL,,N,Y,,,CORE,R-09,MVP,110,Nominal fill volume; basis for percent-of-package-volume measures
package_fill_height_mm,TEST_CONTEXT,CONTEXT,Fill height,number,mm,,N,Y,,,CORE,R-09,MVP,120,Measured fill height in the container; basis for layer-to-fill ratios
sample_storage_orientation,TEST_CONTEXT,CONTEXT,Storage orientation,select,,ORIENTATION,N,N,,,CORE,R-04,MVP,130,"How the sample was stored (upright, inverted, horizontal)"
sample_temperature_at_test,TEST_CONTEXT,CONTEXT,Sample temperature at observation,number,°C,,N,Y,,,CORE,R-05,MVP,135,"Sample temperature when observed, after equilibration from the storage condition"
sample_opened_previously,TEST_CONTEXT,CONTEXT,Sample opened previously,boolean,,,N,N,,,CORE,R-02,MVP,140,Whether the container was opened at an earlier time point
shake_protocol,TEST_CONTEXT,CAPTURE,Shaking protocol,select,,SHAKE_PROTOCOL,Y,N,,,SOP,SOP-202,MVP,142,"SOP: shake 10 times with medium force in a 180° arc (1A>1B>1C>1B>1A), about 5 seconds in total, the same way every pull"
shake_count,TEST_CONTEXT,CAPTURE,Shakes applied,integer,shakes,,N,N,shake_protocol,OTHER,SOP,SOP-202,MVP,143,Number of shakes when the SOP protocol was not followed
result_type,TEST_CONTEXT,CONTEXT,Result type,select,,RESULT_TYPE,Y,N,,,CORE,R-02,MVP,150,"Scheduled, ad hoc, retest or pull-forward observation"
plan_status,TEST_CONTEXT,CONTEXT,Plan status at capture,select,,PLAN_STATUS,N,N,,,CORE,R-04,MVP,160,Whether the stability plan was active or cancelled early on failure when this test was captured
observer_user_id,TEST_CONTEXT,CONTEXT,Observer,ref,,,Y,N,,,CORE,R-02,MVP,170,Entra ID user who captured the observation (system-derived)
observation_timestamp,TEST_CONTEXT,CONTEXT,Observation timestamp,datetime,,,Y,N,,,CORE,R-02,MVP,180,"When the physical observation was made (system-derived, editable within same day)"
test_status,TEST_CONTEXT,CONTEXT,Test status,select,,TEST_STATUS,Y,N,,,CORE,R-31,MVP,190,"Draft, submitted or reviewed (system-managed)"
overall_result,TEST_CONTEXT,CONTEXT,Overall result,select,,OVERALL_RESULT,Y,Y,,,CORE,R-13,MVP,200,Structured overall assessment replacing the 0 to 5 scale
exclude_from_trend,TEST_CONTEXT,CAPTURE,Exclude from trend analysis,boolean,,,N,N,,,SOP,Team sheet,MVP,205,"Set when the pull is not representative (e.g. ""way too cooked, ignore""); the record is kept but left out of trend charts"
exclude_reason,TEST_CONTEXT,CAPTURE,Exclusion reason,text,,,N,N,exclude_from_trend,Y,SOP,Team sheet,MVP,206,Why this pull is excluded
overall_comments,TEST_CONTEXT,CONTEXT,Overall comments,longtext,,,N,N,,,CORE,R-02,MVP,210,"Free-text context that supplements, never replaces, structured descriptors"
lab_source,LAB_RESULTS,LAB,Lab results source,select,,LAB_SOURCE,Y,N,,,SOP,Team sheet,MVP,10,"There is no LIMS integration: results are typed in from LIMS or measured in the PD lab, or marked not available"
lab_lims_reference,LAB_RESULTS,LAB,LIMS reference,text,,,N,N,lab_source,TYPED_FROM_LIMS,SOP,Team sheet,MVP,20,LIMS sample or result id for traceability
